rep-seed	SRC	phase	AC-fill	NG-fill	RC-fill	AC-overlap	NG-overlap	RC-overlap	total-quantity	AC-deployable	NG-deployable	RC-deployable	AC-not-ready	NG-not-ready	RC-not-ready	AC-total	NG-total	RC-total	AC	NG	RC
-1.68576340531845E+018	05437RC00	comp1	0	761	2200	0	60	126	12858	0	155	2048	0	2804	10746	0	3780	15120	0	3	12
-1.68576340531845E+018	05437RC00	phase1	0	33	145	0	0	24	858	0	0	0	0	66	227	0	99	396	0	3	12
-1.68576340531845E+018	05437RC00	phase2	0	120	556	0	0	30	3120	0	0	0	0	240	854	0	360	1440	0	3	12
-1.68576340531845E+018	05437RC00	phase3	0	48	260	0	0	0	1227	0	0	0	0	96	316	0	144	576	0	3	12
-1.68576340531845E+018	05437RC00	phase4	0	43	859	0	0	114	13133	0	0	0	0	2261	8243	0	2304	9216	0	3	12
-1.68576340531845E+018	05437RC00	comp2	0	0	279	0	0	0	1834	0	0	3	0	789	2874	0	789	3156	0	3	12
2.38196687746943E+018	01285K100	comp1	2570	0	0	90	0	0	12002	0	0	0	1120	0	0	3780	0	0	3	0	0
2.38196687746943E+018	01285K100	phase1	99	0	0	0	0	0	693	0	0	0	0	0	0	99	0	0	3	0	0
2.38196687746943E+018	01285K100	phase2	360	0	0	0	0	0	2520	0	0	0	0	0	0	360	0	0	3	0	0
2.38196687746943E+018	01285K100	phase3	144	0	0	0	0	0	945	0	0	0	0	0	0	144	0	0	3	0	0
2.38196687746943E+018	01285K100	phase4	1132	0	0	63	0	0	11327	0	0	0	1109	0	0	2304	0	0	3	0	0
2.38196687746943E+018	01285K100	comp2	405	0	0	0	0	0	2392	137	0	0	1081	0	0	1623	0	0	3	0	0
-2.77084856413831E+017	01285K100	comp1	1748	0	0	60	0	0	12002	0	0	0	712	0	0	2520	0	0	2	0	0
-2.77084856413831E+017	01285K100	phase1	66	0	0	0	0	0	693	0	0	0	0	0	0	66	0	0	2	0	0
-2.77084856413831E+017	01285K100	phase2	240	0	0	0	0	0	2520	0	0	0	0	0	0	240	0	0	2	0	0
-2.77084856413831E+017	01285K100	phase3	96	0	0	0	0	0	945	0	0	0	0	0	0	96	0	0	2	0	0
-2.77084856413831E+017	01285K100	phase4	720	0	0	33	0	0	11327	0	0	0	783	0	0	1536	0	0	2	0	0
-2.77084856413831E+017	01285K100	comp2	405	0	0	0	0	0	2392	0	0	0	677	0	0	1082	0	0	2	0	0
-7.11869378939538E+018	01285K100	comp1	874	0	0	30	0	0	12002	0	0	0	356	0	0	1260	0	0	1	0	0
-7.11869378939538E+018	01285K100	phase1	33	0	0	0	0	0	693	0	0	0	0	0	0	33	0	0	1	0	0
-7.11869378939538E+018	01285K100	phase2	120	0	0	0	0	0	2520	0	0	0	0	0	0	120	0	0	1	0	0
-7.11869378939538E+018	01285K100	phase3	48	0	0	0	0	0	945	0	0	0	0	0	0	48	0	0	1	0	0
-7.11869378939538E+018	01285K100	phase4	360	0	0	3	0	0	11327	0	0	0	405	0	0	768	0	0	1	0	0
-7.11869378939538E+018	01285K100	comp2	216	0	0	0	0	0	2392	0	0	0	325	0	0	541	0	0	1	0	0
3.83796333679375E+018	01205K000	comp1	2253	5307	637	90	382	30	15780	142	118	32	1295	16873	1821	3780	22680	2520	3	18	2
3.83796333679375E+018	01205K000	phase1	99	40	33	0	0	0	792	0	0	0	0	554	33	99	594	66	3	18	2
3.83796333679375E+018	01205K000	phase2	360	662	0	0	0	30	2880	0	0	0	0	1498	210	360	2160	240	3	18	2
3.83796333679375E+018	01205K000	phase3	144	336	0	0	0	0	1110	0	0	0	0	528	96	144	864	96	3	18	2
3.83796333679375E+018	01205K000	phase4	1449	1977	0	83	253	0	13716	0	0	0	772	11594	1536	2304	13824	1536	3	18	2
3.83796333679375E+018	01205K000	comp2	0	1365	142	0	120	0	3474	243	817	98	1380	7436	842	1623	9738	1082	3	18	2
3.47545486649378E+018	01205K000	comp1	1401	4715	575	60	360	60	15780	0	429	0	1059	17176	1885	2520	22680	2520	2	18	2
3.47545486649378E+018	01205K000	phase1	66	220	0	0	0	0	792	0	0	0	0	374	66	66	594	66	2	18	2
3.47545486649378E+018	01205K000	phase2	240	1348	0	0	2	0	2880	0	0	0	0	810	240	240	2160	240	2	18	2
3.47545486649378E+018	01205K000	phase3	96	578	0	0	52	0	1110	0	0	0	0	234	96	96	864	96	2	18	2
3.47545486649378E+018	01205K000	phase4	1067	2421	335	30	260	30	13716	0	0	0	439	11143	1171	1536	13824	1536	2	18	2
3.47545486649378E+018	01205K000	comp2	128	720	240	0	90	30	3474	0	0	0	954	8928	812	1082	9738	1082	2	18	2
4.11351637622764E+018	01205K000	comp1	818	5468	575	30	450	60	15780	56	175	0	356	16587	1885	1260	22680	2520	1	18	2
4.11351637622764E+018	01205K000	phase1	33	76	0	0	0	0	792	0	0	0	0	518	66	33	594	66	1	18	2
