rep-seed	SRC	phase	AC-fill	NG-fill	RC-fill	AC-overlap	NG-overlap	RC-overlap	total-quantity	AC-deployable	NG-deployable	RC-deployable	AC-not-ready	NG-not-ready	RC-not-ready	AC-total	NG-total	RC-total	AC	NG	RC
-5025562857975149833	43429R000	comp1	9122	12040	3782	210	854	211	31817	2510	1799	804	4538	38227	12843	16380	52920	17640	13	42	14
-5025562857975149833	43429R000	phase1	429	463	184	0	0	0	1617	0	0	0	0	923	278	429	1386	462	13	42	14
-5025562857975149833	43429R000	phase2	1560	1805	589	0	136	120	5880	0	0	0	0	3099	971	1560	5040	1680	13	42	14
-5025562857975149833	43429R000	phase3	624	719	193	0	67	26	2289	0	0	0	0	1230	453	624	2016	672	13	42	14
-5025562857975149833	43429R000	phase4	5530	5375	877	293	402	113	30178	0	0	0	4161	26479	9762	9984	32256	10752	13	42	14
-5025562857975149833	43429R000	comp2	0	3023	889	0	210	90	7657	1704	3019	265	5329	16470	6330	7033	22722	7574	13	42	14
5694868678511409995	43429R000	comp1	7952	11730	3872	91	652	339	31817	2197	1676	692	4880	38862	12737	15120	52920	17640	12	42	14
5694868678511409995	43429R000	phase1	396	562	76	0	42	36	1617	0	0	0	0	782	350	396	1386	462	12	42	14
5694868678511409995	43429R000	phase2	1440	1541	501	0	295	0	5880	0	0	0	0	3204	1179	1440	5040	1680	12	42	14
5694868678511409995	43429R000	phase3	576	703	308	0	39	0	2289	0	0	0	0	1274	364	576	2016	672	12	42	14
5694868678511409995	43429R000	phase4	5616	6106	2130	316	415	213	30178	0	0	0	3284	25735	8409	9216	32256	10752	12	42	14
5694868678511409995	43429R000	comp2	548	2337	645	0	234	60	7657	1928	819	155	4016	19332	6714	6492	22722	7574	12	42	14
5111195811822994797	43429R000	comp1	6914	11805	3886	150	815	297	31817	1366	1751	645	5430	38549	12812	13860	52920	17640	11	42	14
5111195811822994797	43429R000	phase1	363	425	86	0	10	13	1617	0	0	0	0	951	363	363	1386	462	11	42	14
5111195811822994797	43429R000	phase2	1320	1739	224	0	110	65	5880	0	0	0	0	3191	1391	1320	5040	1680	11	42	14
5111195811822994797	43429R000	phase3	528	812	192	0	16	12	2289	0	0	0	0	1188	468	528	2016	672	11	42	14
5111195811822994797	43429R000	phase4	5373	6705	1742	196	541	158	30178	0	0	0	2879	25010	8852	8448	32256	10752	11	42	14
5111195811822994797	43429R000	comp2	524	2643	892	0	233	60	7657	1783	2059	754	3644	17787	5868	5951	22722	7574	11	42	14
-5843495416241995736	43429R000	comp1	7015	12633	4115	216	831	180	31817	628	1614	204	4741	37842	13141	12600	52920	17640	10	42	14
-5843495416241995736	43429R000	phase1	330	276	167	0	36	40	1617	0	0	0	0	1074	255	330	1386	462	10	42	14
-5843495416241995736	43429R000	phase2	1200	1423	222	0	56	150	5880	0	0	0	0	3561	1308	1200	5040	1680	10	42	14
-5843495416241995736	43429R000	phase3	480	724	78	0	0	0	2289	0	0	0	0	1292	594	480	2016	672	10	42	14
-5843495416241995736	43429R000	phase4	4655	6984	588	286	485	56	30178	0	0	0	2739	24787	10108	7680	32256	10752	10	42	14
-5843495416241995736	43429R000	comp2	0	2810	808	0	240	90	7657	954	1222	502	4456	18450	6174	5410	22722	7574	10	42	14
-6169532649852302182	43429R000	comp1	6383	11714	3761	120	880	384	31817	1966	2108	777	2871	38218	12718	11340	52920	17640	9	42	14
-6169532649852302182	43429R000	phase1	297	411	90	0	0	1	1617	0	0	0	0	975	371	297	1386	462	9	42	14
-6169532649852302182	43429R000	phase2	1080	1878	499	0	90	0	5880	0	0	0	0	3072	1181	1080	5040	1680	9	42	14
-6169532649852302182	43429R000	phase3	432	921	241	0	40	0	2289	0	0	0	0	1055	431	432	2016	672	9	42	14
-6169532649852302182	43429R000	phase4	4113	5933	1779	111	481	198	30178	0	0	0	2688	25842	8775	6912	32256	10752	9	42	14
-6169532649852302182	43429R000	comp2	262	2472	628	0	229	60	7657	1458	2331	423	3149	17690	6463	4869	22722	7574	9	42	14
-1782466964123969572	43429R000	comp1	5746	11944	4228	228	857	312	31817	1614	2291	535	2492	37828	12565	10080	52920	17640	8	42	14
-1782466964123969572	43429R000	phase1	264	331	71	0	0	0	1617	0	0	0	0	1055	391	264	1386	462	8	42	14
-1782466964123969572	43429R000	phase2	960	1537	308	0	90	30	5880	0	0	0	0	3413	1342	960	5040	1680	8	42	14
-1782466964123969572	43429R000	phase3	384	1018	144	0	0	0	2289	0	0	0	0	998	528	384	2016	672	8	42	14
-1782466964123969572	43429R000	phase4	4065	6656	899	179	581	106	30178	0	0	0	1900	25019	9747	6144	32256	10752	8	42	14
-1782466964123969572	43429R000	comp2	0	2711	1051	0	238	120	7657	618	1675	1065	3710	18098	5338	4328	22722	7574	8	42	14
6802844026563419272	43429R000	comp1	5220	11706	3578	119	823	304	31817	1729	3417	1228	1752	36974	12530	8820	52920	17640	7	42	14
6802844026563419272	43429R000	phase1	231	397	104	0	0	0	1617	0	0	0	0	989	358	231	1386	462	7	42	14
6802844026563419272	43429R000	phase2	840	1677	462	0	102	21	5880	0	0	0	0	3261	1197	840	5040	1680	7	42	14
6802844026563419272	43429R000	phase3	336	862	192	0	41	9	2289	0	0	0	0	1113	471	336	2016	672	7	42	14
6802844026563419272	43429R000	phase4	3049	6895	1372	61	532	130	30178	0	0	0	2266	24829	9250	5376	32256	10752	7	42	14
6802844026563419272	43429R000	comp2	291	2615	1120	0	239	120	7657	1382	1625	711	2114	18243	5623	3787	22722	7574	7	42	14
5086654115216342560	43429R000	comp1	4534	11789	3880	120	813	220	31817	847	1488	386	2059	38830	13154	7560	52920	17640	6	42	14
5086654115216342560	43429R000	phase1	198	452	164	0	49	39	1617	0	0	0	0	885	259	198	1386	462	6	42	14
5086654115216342560	43429R000	phase2	720	1863	373	0	149	98	5880	0	0	0	0	3028	1209	720	5040	1680	6	42	14
5086654115216342560	43429R000	phase3	288	864	144	0	47	13	2289	0	0	0	0	1105	515	288	2016	672	6	42	14
5086654115216342560	43429R000	phase4	2399	6125	1569	120	521	140	30178	0	0	0	2089	25610	9043	4608	32256	10752	6	42	14
5086654115216342560	43429R000	comp2	0	2700	720	0	240	90	7657	955	1090	75	2291	18692	6689	3246	22722	7574	6	42	14
8552898714322622292	43429R000	comp1	4037	12446	3930	134	878	360	31817	516	756	192	1613	38840	13158	6300	52920	17640	5	42	14
8552898714322622292	43429R000	phase1	165	379	76	0	46	27	1617	0	0	0	0	961	359	165	1386	462	5	42	14
8552898714322622292	43429R000	phase2	600	1267	499	0	149	0	5880	0	0	0	0	3624	1181	600	5040	1680	5	42	14
8552898714322622292	43429R000	phase3	240	576	243	0	15	0	2289	0	0	0	0	1425	429	240	2016	672	5	42	14
8552898714322622292	43429R000	phase4	2133	5792	1862	150	358	167	30178	0	0	0	1557	26106	8723	3840	32256	10752	5	42	14
8552898714322622292	43429R000	comp2	0	2371	975	0	132	90	7657	612	3205	496	2093	17014	6013	2705	22722	7574	5	42	14
-4004755535478349341	43429R000	comp1	3117	11990	3796	120	842	282	31817	180	961	232	1623	39127	13330	5040	52920	17640	4	42	14
-4004755535478349341	43429R000	phase1	132	480	121	0	49	0	1617	0	0	0	0	857	341	132	1386	462	4	42	14
-4004755535478349341	43429R000	phase2	480	1807	389	0	205	90	5880	0	0	0	0	3028	1201	480	5040	1680	4	42	14
-4004755535478349341	43429R000	phase3	192	886	144	0	21	0	2289	0	0	0	0	1109	528	192	2016	672	4	42	14
-4004755535478349341	43429R000	phase4	1819	5537	1920	101	468	132	30178	0	0	0	1152	26251	8700	3072	32256	10752	4	42	14
-4004755535478349341	43429R000	comp2	0	2935	240	0	240	30	7657	396	1145	506	1768	18402	6798	2164	22722	7574	4	42	14
-1488139573943419793	43429R000	comp1	2138	11996	4061	60	955	296	31817	397	2128	138	1185	37841	13145	3780	52920	17640	3	42	14
-1488139573943419793	43429R000	phase1	99	350	118	0	0	45	1617	0	0	0	0	1036	299	99	1386	462	3	42	14
-1488139573943419793	43429R000	phase2	360	1719	314	0	83	71	5880	0	0	0	0	3238	1295	360	5040	1680	3	42	14
-1488139573943419793	43429R000	phase3	144	912	97	0	7	0	2289	0	0	0	0	1097	575	144	2016	672	3	42	14
-1488139573943419793	43429R000	phase4	1229	6898	1300	90	560	130	30178	0	0	0	985	24798	9322	2304	32256	10752	3	42	14
-1488139573943419793	43429R000	comp2	0	2904	588	0	240	60	7657	418	1880	836	1205	17698	6090	1623	22722	7574	3	42	14
8051837266862454915	43429R000	comp1	1500	11793	3871	60	977	282	31817	270	925	601	690	39225	12886	2520	52920	17640	2	42	14
8051837266862454915	43429R000	phase1	66	369	151	0	0	0	1617	0	0	0	0	1017	311	66	1386	462	2	42	14
8051837266862454915	43429R000	phase2	240	1841	389	0	44	120	5880	0	0	0	0	3155	1171	240	5040	1680	2	42	14
8051837266862454915	43429R000	phase3	96	922	193	0	33	0	2289	0	0	0	0	1061	479	96	2016	672	2	42	14
8051837266862454915	43429R000	phase4	968	7215	1286	60	617	137	30178	0	0	0	508	24424	9329	1536	32256	10752	2	42	14
8051837266862454915	43429R000	comp2	0	2353	497	0	210	30	7657	130	1631	721	952	18528	6326	1082	22722	7574	2	42	14
-4613416830416070574	43429R000	comp1	850	11477	4071	30	829	293	31817	35	1628	252	345	38986	13024	1260	52920	17640	1	42	14
-4613416830416070574	43429R000	phase1	33	389	104	0	57	50	1617	0	0	0	0	940	308	33	1386	462	1	42	14
-4613416830416070574	43429R000	phase2	120	1629	379	0	128	40	5880	0	0	0	0	3283	1261	120	5040	1680	1	42	14
-4613416830416070574	43429R000	phase3	48	891	235	0	25	0	2289	0	0	0	0	1100	437	48	2016	672	1	42	14
-4613416830416070574	43429R000	phase4	363	7874	1341	0	653	157	30178	0	0	0	405	23729	9254	768	32256	10752	1	42	14
-4613416830416070574	43429R000	comp2	0	1907	1147	0	150	120	7657	216	662	139	325	20003	6168	541	22722	7574	1	42	14
7130900098642117381	43429R000	comp1	0	11460	3445	0	878	320	31817	0	1333	680	0	39249	13195	0	52920	17640	0	42	14
7130900098642117381	43429R000	phase1	0	501	109	0	9	0	1617	0	0	0	0	876	353	0	1386	462	0	42	14
7130900098642117381	43429R000	phase2	0	1835	646	0	148	11	5880	0	0	0	0	3057	1023	0	5040	1680	0	42	14
7130900098642117381	43429R000	phase3	0	821	373	0	105	19	2289	0	0	0	0	1090	280	0	2016	672	0	42	14
7130900098642117381	43429R000	phase4	0	6439	2699	0	503	277	30178	0	0	0	0	25314	7776	0	32256	10752	0	42	14
7130900098642117381	43429R000	comp2	0	2574	381	0	270	20	7657	0	788	259	0	19090	6914	0	22722	7574	0	42	14
3869528714570848026	05473R000	comp1	2063	2300	2152	0	120	120	13924	904	1003	691	2073	9177	8377	5040	12600	11340	4	10	9
3869528714570848026	05473R000	phase1	132	165	151	0	0	0	792	0	0	0	0	165	146	132	330	297	4	10	9
3869528714570848026	05473R000	phase2	480	564	479	0	30	60	2880	0	0	0	0	606	541	480	1200	1080	4	10	9
3869528714570848026	05473R000	phase3	192	288	169	0	0	2	1131	0	0	0	0	192	261	192	480	432	4	10	9
3869528714570848026	05473R000	phase4	1888	696	509	60	180	71	11611	0	0	0	1124	6804	6332	3072	7680	6912	4	10	9
3869528714570848026	05473R000	comp2	262	295	409	0	30	30	1589	836	549	494	1066	4536	3936	2164	5410	4869	4	10	9
-7482923245497525943	05473R000	comp1	1659	2953	2806	0	120	210	13924	523	117	184	1598	9410	8140	3780	12600	11340	3	10	9
-7482923245497525943	05473R000	phase1	99	210	66	0	7	0	792	0	0	0	0	113	231	99	330	297	3	10	9
-7482923245497525943	05473R000	phase2	360	467	48	0	113	60	2880	0	0	0	0	620	972	360	1200	1080	3	10	9
-7482923245497525943	05473R000	phase3	144	85	10	0	38	0	1131	0	0	0	0	357	422	144	480	432	3	10	9
-7482923245497525943	05473R000	phase4	1570	148	348	90	35	30	11611	0	0	0	644	7497	6534	2304	7680	6912	3	10	9
-7482923245497525943	05473R000	comp2	262	254	576	0	0	60	1589	545	617	811	816	4539	3422	1623	5410	4869	3	10	9
3272055439932147596	05473R000	comp1	950	2462	2664	0	105	190	13924	731	1114	338	839	8919	8148	2520	12600	11340	2	10	9
3272055439932147596	05473R000	phase1	66	165	85	0	0	20	792	0	0	0	0	165	192	66	330	297	2	10	9
3272055439932147596	05473R000	phase2	240	442	234	0	60	60	2880	0	0	0	0	698	786	240	1200	1080	2	10	9
3272055439932147596	05473R000	phase3	96	158	96	0	0	0	1131	0	0	0	0	322	336	96	480	432	2	10	9
3272055439932147596	05473R000	phase4	787	936	416	30	90	53	11611	0	0	0	719	6654	6443	1536	7680	6912	2	10	9
3272055439932147596	05473R000	comp2	0	482	354	0	60	30	1589	341	279	735	741	4589	3750	1082	5410	4869	2	10	9
-3210362905434573697	05473R000	comp1	500	1867	2548	0	120	120	13924	125	1559	652	635	9054	8020	1260	12600	11340	1	10	9
-3210362905434573697	05473R000	phase1	33	213	94	0	0	5	792	0	0	0	0	117	198	33	330	297	1	10	9
-3210362905434573697	05473R000	phase2	120	859	42	0	0	85	2880	0	0	0	0	341	953	120	1200	1080	1	10	9
-3210362905434573697	05473R000	phase3	48	341	88	0	22	0	1131	0	0	0	0	117	344	48	480	432	1	10	9
-3210362905434573697	05473R000	phase4	399	846	596	30	125	60	11611	0	0	0	339	6709	6256	768	7680	6912	1	10	9
-3210362905434573697	05473R000	comp2	0	457	416	0	60	30	1589	150	0	417	391	4893	4006	541	5410	4869	1	10	9
3176860285874836986	05473R000	comp1	0	3047	2432	0	225	210	13924	0	556	1268	0	8772	7430	0	12600	11340	0	10	9
3176860285874836986	05473R000	phase1	0	85	26	0	0	0	792	0	0	0	0	245	271	0	330	297	0	10	9
3176860285874836986	05473R000	phase2	0	360	146	0	0	0	2880	0	0	0	0	840	934	0	1200	1080	0	10	9
3176860285874836986	05473R000	phase3	0	144	144	0	0	0	1131	0	0	0	0	336	288	0	480	432	0	10	9
3176860285874836986	05473R000	phase4	0	562	712	0	105	90	11611	0	0	0	0	7013	6110	0	7680	6912	0	10	9
3176860285874836986	05473R000	comp2	0	265	439	0	30	30	1589	0	1279	1006	0	3836	3394	0	5410	4869	0	10	9
-7610621359446545191	07215K000	comp1	13470	22797	335	720	930	30	41776	6615	2022	71	10695	47331	824	31500	73080	1260	25	58	1
-7610621359446545191	07215K000	phase1	726	561	0	0	0	0	1287	99	166	0	0	1187	33	825	1914	33	25	58	1
-7610621359446545191	07215K000	phase2	2640	2040	0	0	0	0	4680	360	1049	0	0	3871	120	3000	6960	120	25	58	1
-7610621359446545191	07215K000	phase3	1056	816	0	0	0	0	1872	144	646	0	0	1322	48	1200	2784	48	25	58	1
-7610621359446545191	07215K000	phase4	14195	17960	0	456	870	0	35436	1701	3953	0	2848	21761	768	19200	44544	768	25	58	1
-7610621359446545191	07215K000	comp2	875	4744	240	234	513	0	13411	0	0	0	12416	26121	301	13525	31378	541	25	58	1
-7912908803613548926	07215K000	comp1	13538	23994	240	688	1108	30	41776	6645	1445	0	9369	46533	990	30240	73080	1260	24	58	1
-7912908803613548926	07215K000	phase1	792	495	0	0	0	0	1287	0	0	19	0	1419	14	792	1914	33	24	58	1
-7912908803613548926	07215K000	phase2	2880	1800	0	0	0	0	4680	0	528	120	0	4632	0	2880	6960	120	24	58	1
-7912908803613548926	07215K000	phase3	1152	720	0	0	0	0	1872	0	318	48	0	1746	0	1152	2784	48	24	58	1
-7912908803613548926	07215K000	phase4	13381	18391	335	485	898	30	35436	669	4266	143	3897	20989	260	18432	44544	768	24	58	1
-7912908803613548926	07215K000	comp2	752	4374	0	85	422	0	13411	583	452	0	11564	26130	541	12984	31378	541	24	58	1
-4588066762141701118	07215K000	comp1	14056	23134	301	635	1050	0	41776	5459	1101	39	8830	47795	920	28980	73080	1260	23	58	1
-4588066762141701118	07215K000	phase1	759	495	33	0	0	0	1287	0	135	0	0	1284	0	759	1914	33	23	58	1
-4588066762141701118	07215K000	phase2	2760	1919	1	0	0	30	4680	0	712	0	0	4329	89	2760	6960	120	23	58	1
