rep-seed	SRC	phase	AC-fill	NG-fill	RC-fill	AC-overlap	NG-overlap	RC-overlap	total-quantity	AC-deployable	NG-deployable	RC-deployable	AC-not-ready	NG-not-ready	RC-not-ready	AC-total	NG-total	RC-total	AC	NG	RC
-5843495416241995736	77202K000	PreSurge	0	0	0	0	0	0	0	6725	0	0	0	0	0	6725	0	0	25	0	0
-5843495416241995736	77202K000	Surge	0	0	0	0	0	0	0	0	0	0	5775	0	0	5775	0	0	25	0	0
-5843495416241995736	77202K000	PostSurge	2573	0	0	264	0	0	6592	8385	0	0	38578	0	0	49800	0	0	25	0	0
5694868678511409995	77202K000	PreSurge	0	0	0	0	0	0	0	8877	0	538	0	0	0	8877	0	538	33	0	2
5694868678511409995	77202K000	Surge	0	0	0	0	0	0	0	48	0	191	7575	0	271	7623	0	462	33	0	2
5694868678511409995	77202K000	PostSurge	3001	0	480	272	0	60	6592	11252	0	335	51211	0	3109	65736	0	3984	33	0	2
5111195811822994797	77202K000	PreSurge	0	0	0	0	0	0	0	8339	0	269	0	0	0	8339	0	269	31	0	1
5111195811822994797	77202K000	Surge	0	0	0	0	0	0	0	171	0	0	6990	0	231	7161	0	231	31	0	1
5111195811822994797	77202K000	PostSurge	3116	0	240	285	0	16	6592	10434	0	256	47917	0	1480	61752	0	1992	31	0	1
-5025562857975149833	77202K000	PreSurge	0	0	0	0	0	0	0	5918	0	807	0	0	0	5918	0	807	22	0	3
-5025562857975149833	77202K000	Surge	0	0	0	0	0	0	0	77	0	164	5005	0	529	5082	0	693	22	0	3
-5025562857975149833	77202K000	PostSurge	1920	0	720	180	0	90	6592	7492	0	709	34232	0	4457	43824	0	5976	22	0	3
-6169532649852302182	77202K000	PreSurge	0	0	0	0	0	0	0	8608	0	269	0	0	0	8608	0	269	32	0	1
-6169532649852302182	77202K000	Surge	0	0	0	0	0	0	0	376	0	0	7016	0	231	7392	0	231	32	0	1
-6169532649852302182	77202K000	PostSurge	2626	0	138	216	0	0	6592	10768	0	366	50134	0	1488	63744	0	1992	32	0	1
-1782466964123969572	77202K000	PreSurge	0	0	0	0	0	0	0	5111	0	807	0	0	0	5111	0	807	19	0	3
-1782466964123969572	77202K000	Surge	0	0	0	0	0	0	0	46	0	228	4343	0	465	4389	0	693	19	0	3
-1782466964123969572	77202K000	PostSurge	1559	0	347	150	0	30	6592	6583	0	636	29556	0	4963	37848	0	5976	19	0	3
6802844026563419272	77202K000	PreSurge	0	0	0	0	0	0	0	7263	0	269	0	0	0	7263	0	269	27	0	1
6802844026563419272	77202K000	Surge	0	0	0	0	0	0	0	441	0	231	5796	0	0	6237	0	231	27	0	1
6802844026563419272	77202K000	PostSurge	2456	0	240	204	0	30	6592	9100	0	46	42024	0	1676	53784	0	1992	27	0	1
5086654115216342560	77202K000	PreSurge	0	0	0	0	0	0	0	7532	0	538	0	0	0	7532	0	538	28	0	2
5086654115216342560	77202K000	Surge	0	0	0	0	0	0	0	299	0	0	6169	0	462	6468	0	462	28	0	2
5086654115216342560	77202K000	PostSurge	2968	0	480	254	0	54	6592	9397	0	363	43157	0	3087	55776	0	3984	28	0	2
8552898714322622292	77202K000	PreSurge	0	0	0	0	0	0	0	6456	0	0	0	0	0	6456	0	0	24	0	0
8552898714322622292	77202K000	Surge	0	0	0	0	0	0	0	211	0	0	5333	0	0	5544	0	0	24	0	0
8552898714322622292	77202K000	PostSurge	1786	0	0	193	0	0	6592	8125	0	0	37704	0	0	47808	0	0	24	0	0
-4004755535478349341	77202K000	PreSurge	0	0	0	0	0	0	0	9146	0	538	0	0	0	9146	0	538	34	0	2
-4004755535478349341	77202K000	Surge	0	0	0	0	0	0	0	403	0	0	7451	0	462	7854	0	462	34	0	2
-4004755535478349341	77202K000	PostSurge	3576	0	240	349	0	30	6592	11305	0	386	52498	0	3328	67728	0	3984	34	0	2
-1488139573943419793	77202K000	PreSurge	0	0	0	0	0	0	0	4842	0	0	0	0	0	4842	0	0	18	0	0
-1488139573943419793	77202K000	Surge	0	0	0	0	0	0	0	317	0	0	3841	0	0	4158	0	0	18	0	0
-1488139573943419793	77202K000	PostSurge	2472	0	0	259	0	0	6592	5478	0	0	27647	0	0	35856	0	0	18	0	0
8051837266862454915	77202K000	PreSurge	0	0	0	0	0	0	0	9146	0	538	0	0	0	9146	0	538	34	0	2
8051837266862454915	77202K000	Surge	0	0	0	0	0	0	0	458	0	222	7396	0	240	7854	0	462	34	0	2
8051837266862454915	77202K000	PostSurge	2848	0	480	269	0	60	6592	11467	0	499	53144	0	2945	67728	0	3984	34	0	2
-4613416830416070574	77202K000	PreSurge	0	0	0	0	0	0	0	5111	0	269	0	0	0	5111	0	269	19	0	1
-4613416830416070574	77202K000	Surge	0	0	0	0	0	0	0	121	0	0	4268	0	231	4389	0	231	19	0	1
-4613416830416070574	77202K000	PostSurge	2046	0	240	150	0	30	6592	6503	0	0	29149	0	1722	37848	0	1992	19	0	1
7130900098642117381	77202K000	PreSurge	0	0	0	0	0	0	0	7263	0	538	0	0	0	7263	0	538	27	0	2
7130900098642117381	77202K000	Surge	0	0	0	0	0	0	0	113	0	0	6124	0	462	6237	0	462	27	0	2
7130900098642117381	77202K000	PostSurge	3175	0	271	242	0	30	6592	8974	0	693	41393	0	2990	53784	0	3984	27	0	2
3272055439932147596	77202K000	PreSurge	0	0	0	0	0	0	0	5380	0	269	0	0	0	5380	0	269	20	0	1
3272055439932147596	77202K000	Surge	0	0	0	0	0	0	0	122	0	0	4498	0	231	4620	0	231	20	0	1
3272055439932147596	77202K000	PostSurge	2410	0	240	263	0	30	6592	6457	0	314	30710	0	1408	39840	0	1992	20	0	1
-7482923245497525943	77202K000	PreSurge	0	0	0	0	0	0	0	6456	0	538	0	0	0	6456	0	538	24	0	2
-7482923245497525943	77202K000	Surge	0	0	0	0	0	0	0	95	0	0	5449	0	462	5544	0	462	24	0	2
-7482923245497525943	77202K000	PostSurge	2834	0	89	300	0	0	6592	7688	0	728	36986	0	3167	47808	0	3984	24	0	2
3869528714570848026	77202K000	PreSurge	0	0	0	0	0	0	0	8070	0	269	0	0	0	8070	0	269	30	0	1
3869528714570848026	77202K000	Surge	0	0	0	0	0	0	0	530	0	115	6400	0	116	6930	0	231	30	0	1
3869528714570848026	77202K000	PostSurge	3947	0	240	343	0	22	6592	9932	0	0	45538	0	1730	59760	0	1992	30	0	1
-3210362905434573697	77202K000	PreSurge	0	0	0	0	0	0	0	5380	0	807	0	0	0	5380	0	807	20	0	3
-3210362905434573697	77202K000	Surge	0	0	0	0	0	0	0	195	0	274	4425	0	419	4620	0	693	20	0	3
-3210362905434573697	77202K000	PostSurge	2747	0	503	230	0	44	6592	6705	0	800	30158	0	4629	39840	0	5976	20	0	3
3176860285874836986	77202K000	PreSurge	0	0	0	0	0	0	0	6994	0	269	0	0	0	6994	0	269	26	0	1
3176860285874836986	77202K000	Surge	0	0	0	0	0	0	0	183	0	0	5823	0	231	6006	0	231	26	0	1
3176860285874836986	77202K000	PostSurge	1695	0	0	102	0	0	6592	9105	0	365	40890	0	1627	51792	0	1992	26	0	1
-7610621359446545191	77202K000	PreSurge	0	0	0	0	0	0	0	5649	0	538	0	0	0	5649	0	538	21	0	2
-7610621359446545191	77202K000	Surge	0	0	0	0	0	0	0	148	0	0	4703	0	462	4851	0	462	21	0	2
-7610621359446545191	77202K000	PostSurge	2600	0	277	240	0	24	6592	6751	0	575	32241	0	3108	41832	0	3984	21	0	2
-4588066762141701118	77202K000	PreSurge	0	0	0	0	0	0	0	7801	0	269	0	0	0	7801	0	269	29	0	1
-4588066762141701118	77202K000	Surge	0	0	0	0	0	0	0	266	0	0	6433	0	231	6699	0	231	29	0	1
-4588066762141701118	77202K000	PostSurge	3664	0	0	284	0	0	6592	9406	0	365	44414	0	1627	57768	0	1992	29	0	1
-7912908803613548926	77202K000	PreSurge	0	0	0	0	0	0	0	7532	0	538	0	0	0	7532	0	538	28	0	2
-7912908803613548926	77202K000	Surge	0	0	0	0	0	0	0	214	0	18	6254	0	444	6468	0	462	28	0	2
-7912908803613548926	77202K000	PostSurge	2924	0	423	262	0	30	6592	9275	0	655	43315	0	2876	55776	0	3984	28	0	2
-7747173299880867347	77202K000	PreSurge	0	0	0	0	0	0	0	9415	0	269	0	0	0	9415	0	269	35	0	1
-7747173299880867347	77202K000	Surge	0	0	0	0	0	0	0	287	0	231	7798	0	0	8085	0	231	35	0	1
-7747173299880867347	77202K000	PostSurge	3838	0	240	319	0	30	6592	11734	0	101	53829	0	1621	69720	0	1992	35	0	1
6602457318652576433	77202K000	PreSurge	0	0	0	0	0	0	0	5649	0	807	0	0	0	5649	0	807	21	0	3
6602457318652576433	77202K000	Surge	0	0	0	0	0	0	0	253	0	0	4598	0	693	4851	0	693	21	0	3
6602457318652576433	77202K000	PostSurge	2842	0	480	226	0	60	6592	6982	0	836	31782	0	4600	41832	0	5976	21	0	3
-4565385657661118002	77202K000	PreSurge	0	0	0	0	0	0	0	5918	0	269	0	0	0	5918	0	269	22	0	1
-4565385657661118002	77202K000	Surge	0	0	0	0	0	0	0	0	0	0	5082	0	231	5082	0	231	22	0	1
-4565385657661118002	77202K000	PostSurge	1858	0	0	180	0	0	6592	7505	0	365	34281	0	1627	43824	0	1992	22	0	1
579564241196435126	77202K000	PreSurge	0	0	0	0	0	0	0	6994	0	538	0	0	0	6994	0	538	26	0	2
579564241196435126	77202K000	Surge	0	0	0	0	0	0	0	260	0	0	5746	0	462	6006	0	462	26	0	2
579564241196435126	77202K000	PostSurge	2937	0	480	282	0	60	6592	8860	0	246	39713	0	3198	51792	0	3984	26	0	2
8018081796930885386	77202K000	PreSurge	0	0	0	0	0	0	0	8070	0	0	0	0	0	8070	0	0	30	0	0
8018081796930885386	77202K000	Surge	0	0	0	0	0	0	0	311	0	0	6619	0	0	6930	0	0	30	0	0
8018081796930885386	77202K000	PostSurge	3106	0	0	276	0	0	6592	10398	0	0	45980	0	0	59760	0	0	30	0	0
-3361053196040192472	77202K000	PreSurge	0	0	0	0	0	0	0	8608	0	807	0	0	0	8608	0	807	32	0	3
-3361053196040192472	77202K000	Surge	0	0	0	0	0	0	0	104	0	231	7288	0	462	7392	0	693	32	0	3
-3361053196040192472	77202K000	PostSurge	2631	0	240	240	0	30	6592	10847	0	735	50026	0	4971	63744	0	5976	32	0	3
6645529480803663035	77202K000	PreSurge	0	0	0	0	0	0	0	8877	0	269	0	0	0	8877	0	269	33	0	1
6645529480803663035	77202K000	Surge	0	0	0	0	0	0	0	216	0	0	7407	0	231	7623	0	231	33	0	1
6645529480803663035	77202K000	PostSurge	3028	0	240	280	0	30	6592	10998	0	245	51430	0	1477	65736	0	1992	33	0	1
7704975138223047541	77202K000	PreSurge	0	0	0	0	0	0	0	6725	0	807	0	0	0	6725	0	807	25	0	3
